"","article","indiv","dpi","dpi_idx","sample_type","st_idx","sample_rep","val_total","pos_total","cens_total","val_sg","pos_sg","cens_sg","val_inf","pos_inf","lodq_sg","lodq_total","tg_total","tg_sg","tg_idx","cell_line","cell_idx","culture_assay","assay_idx","animal_species","sp_idx","age_class_stand","age_years_rep","age_class_rep","age_idx","sex","sex_idx","units_total","units_sg","units_inf","lod_total","loq_total","lod_sg","loq_sg","lod_inf","loq_inf","sample_grp","inoc_dose_total_pfu","inoc_dose_total_TCID","inoc_route","inoc_dose_units_rep","viral_strain","organ_system","log10_dose_pfu"
"1","Baum et al. 2020","AB_34706",1,1,"Non-invasive",0,"Nasal Swab","7.59351556202827",1,0,"6.12529269501204",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"2","Baum et al. 2020","AB_34706",2,2,"Non-invasive",0,"Nasal Swab","7.61815723218989",1,0,"6.51953538608286",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"3","Baum et al. 2020","AB_34706",4,2,"Non-invasive",0,"Nasal Swab","6.14495735401895",1,0,"4.63314817947124",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"4","Baum et al. 2020","AB_34706",6,2,"Non-invasive",0,"Nasal Swab","5.13684852599182",1,0,"3.84547549039081",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"5","Baum et al. 2020","AB_34706",7,2,"Non-invasive",0,"Nasal Swab","6.65221157912675",1,0,"5.32656858207136",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"6","Baum et al. 2020","AB_34706",1,3,"Non-invasive",0,"Oral Swab","4.09289772313368",1,0,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"7","Baum et al. 2020","AB_34706",2,3,"Non-invasive",0,"Oral Swab","3.90321594434262",1,0,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"8","Baum et al. 2020","AB_34706",4,3,"Non-invasive",0,"Oral Swab","5.72885415630047",1,0,"4.422389236168",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"9","Baum et al. 2020","AB_34706",6,3,"Non-invasive",0,"Oral Swab","4.86753181977769",1,0,"3.26906690208591",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"10","Baum et al. 2020","AB_34706",7,3,"Non-invasive",0,"Oral Swab","3.21029002729243",1,0,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
