"article","indiv","dpi","sample_type","val_total","val_sg","val_inf","lod_total","lod_sg","lod_inf","loq_total","loq_sg","loq_inf","tg_total","tg_sg","sample_grp","sample_rep","units_inf","animal_species","sex","age_class_stand","age_class_rep","age_years_rep","inoc_dose_total_pfu","inoc_dose_total_TCID","inoc_route","inoc_dose_units_rep","cell_line","viral_strain","units_total","units_sg","culture_assay"
"Baum et al. 2020","AB_34706",1,"Non-invasive","7.59351556202827","6.12529269501204",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34706",2,"Non-invasive","7.61815723218989","6.51953538608286",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34706",4,"Non-invasive","6.14495735401895","4.63314817947124",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34706",6,"Non-invasive","5.13684852599182","3.84547549039081",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34706",7,"Non-invasive","6.65221157912675","5.32656858207136",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34706",1,"Non-invasive","4.09289772313368","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34706",2,"Non-invasive","3.90321594434262","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34706",4,"Non-invasive","5.72885415630047","4.422389236168",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34706",6,"Non-invasive","4.86753181977769","3.26906690208591",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34706",7,"Non-invasive","3.21029002729243","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",1,"Non-invasive","6.78747986855755","5.4341761700054",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",2,"Non-invasive","4.06481532418912","3.03165734514512",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",4,"Non-invasive","6.56092797426165","4.6860588788161",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",6,"Non-invasive","6.0068092105368","3.69149283417701",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
