"Article","N","Species","Sex","Age class","Exposure route","Exposure dose","Viral isolate","Sample type","Sample days","Sample location","Total RNA target gene","sgRNA target gene","Culture"
"Baum et al. 2020","43 (4)","RM","F, M","U","IT, IN","6.02","USA/WA1/2020","NI","1, 2, 3","URT, Other","N","E (3)","--"
"","48 (6)","RM","F, M","A","IT, IN","5.04","USA/WA1/2020","NI","1, 2","URT, LRT","N","E (3)","--"
"Chandrashekar et al. 2020","12 (3)","RM","U","A","IT, IN","6.04","USA/WA1/2020","NI","1, 2","URT","N","E (3)","--"
"","12 (3)","RM","U","A","IT, IN","5.04","USA/WA1/2020","NI","1, 2","URT","N","E (3)","--"
"Chandrashekar et al. 2020","12 (3)","RM","U","A","IT, IN","4.04","USA/WA1/2020","NI","1, 2","URT","N","E (3)","--"
"Corbett et al. 2020","50 (8)","RM","F, M","J, A","IT, IN","5.88","USA/WA1/2020","NI","1, 2","URT, LRT","N","E (3)","--"
"Cross et al. 2020","124 (6)","AGM","F","A","IN","6.45","ITA/INMI1/2020","NI","2, 3","URT, LRT, GI, Other","N"," --","Vero E6"
"Dagotto et al. 2021","16 (4)","RM","U","A","IT, IN","4.04","USA/WA1/2020","NI","1, 2","LRT","N, E","E (3, 4)","--"
"Deng et al. 2020B","7 (1)","RM","M","J","IT","5.85*","CHN/WH-09/2020","I","3","LRT","E"," --","Vero E6+"
"","7 (1)","RM","M","J","OC","5.85*","CHN/WH-09/2020","I","3","LRT","E"," --","Vero E6+"
"Gabitzsch et al. 2021","24 (2)","RM","F, M","J","IT, IN","5.85*","USA/WA1/2020","NI","1, 2","URT, LRT","N","E (3)","--"
"Ishigaki et al. 2021","144 (3)","CM","F, M","A","IT, IN, OR, OC","6.19*","JPN/WK-521/2020","NI","1, 2, 3","URT, LRT, GI, Other","N"," --","Vero E6+"
"Jiao et al. 2021","16 (3)","RM","M","U","IN","7","CHN/U ","I","3","GI","N"," --","Vero E6+"
"","14 (3)","RM","M","U","IG","7","CHN/U ","I","1, 2, 3","GI","N"," --","Vero E6+"
"Johnston et al. 2020","60 (4)","RM","F, M","A","AE","4.46","USA/WA1/2020","NI","2, 3","URT, GI","N"," --","Vero 76"
"","45 (3)","AGM","F, M","A","AE","4.58","USA/WA1/2020","NI","2, 3","URT, GI","N"," --","Vero 76"
"Johnston et al. 2020","60 (4)","CM","F, M","J, A","AE","4.69","USA/WA1/2020","NI","2, 3","URT, GI","N"," --","Vero 76"
"Jones et al. 2021","44 (4)","RM","F","A","IT, IN","5.04","USA/WA1/2020","I, NI","1, 2, 3","URT, LRT","N","E (3)","--"
"Kobiyama et al. 2021","26 (2)","CM","F","A","IT, IN, OR, OC","7.3","U/U","NI","1, 2","URT, LRT, Other","N"," --","Vero E6/TMPRSS2+"
"Li et al. 2021","148 (16)","CM","F, M","J, A","IT, IN","5","USA/WA1/2020","NI","2","URT, LRT","E","E, N (4, 2)","--"
"Munster et al. 2020","53 (8)","RM","F, M","J, A","IT, IN, OR, OC","6.26*","USA/WA1/2020","I, NI","1, 2, 3","LRT, GI, Other","E","ORF7 (4)","Vero E6"
"Nagata et al. 2021","165 (6)","CM","F","A","IT, IN, OC","7.42*","JPN/WK-521/2020","I, NI","1, 2, 3","URT, LRT, GI, Other","N","N (1)","Vero E6/TMPRSS2+"
"Patel et al. 2021","65 (5)","RM","F, M","J","IT, IN","4.04","USA/WA1/2020","NI","1, 2","URT, LRT","N","E (3)","--"
"Salguero et al. 2021","63 (6)","RM","F, M","J","IT, IN","6.7","AUS/VIC01/2020","I, NI","1, 2, 3","URT, LRT, Other","N","E (3)","Vero E6"
"","58 (6)","CM","F, M","J","IT, IN","6.7","AUS/VIC01/2020","I, NI","1, 2, 3","URT, LRT, Other","N","E (3)","Vero E6"
"Shan et al. 2020","108 (6)","RM","F, M","A","IT","6.69*","CHN/WIV04/2019","NI","3","URT, GI","S"," --","Vero E6+"
"Singh et al. 2020","108 (16)","RM","F, M","G, J","IT, IN, OC","6.02","USA/WA1/2020","I","3","LRT","N","E (3)","Vero E6"
"Speranza et al. 2020","194 (10)","AGM","F, M","A","IT, IN, OR, OC","6.26*","USA/WA1/2020","I, NI","1, 2, 3","URT, LRT, GI","E","E (4)","Vero E6"
"van Doremalen et al. 2020","72 (6)","RM","U","J","IT, IN, OR, OC","6.26*","USA/WA1/2020","I, NI","1, 2, 3","URT, LRT, GI, Other","--","E ","Vero E6+"
"Williamson et al. 2020","135 (6)","RM","F, M","J","IT, IN, OR, OC","6.26*","USA/WA1/2020","I, NI","1, 2, 3","URT, LRT, GI","E"," --","Vero E6+"
"Woolsey et al. 2020","132 (6)","AGM","F, M","A","IT, IN","5.66","ITA/INMI1/2020","NI","2, 3","URT, LRT, GI, Other","N"," --","Vero E6"
"Yu et al. 2020","102 (10)","RM","U","A","IT, IN","4.04","U/U","NI","1, 2","URT, LRT","N","E (3)","--"
