"Model","Predictors","ELPD Difference (SE)","ELPD (SE)","ELPD Difference Best (SE)","LOO - ELPD Difference (SE)","LOO - ELPD (SE)","LOO - Effective parameters (SE)","Max. Pareto k","F score","MCC","% correctly predicted (train)","% correctly predicted (test)","% correctly predicted (positive, test)","% correctly predicted (negative, test)"
"l1","","-74.19 (10.07)","-314.09 (15.68)","-68.45 (9.28)","-72.27 (10.2)","-313.58 (15.75)","1.64 (0.25)",0.15,0.89,0.75,87.71,87.35,91.29,82.76
"l2.1","DOSE","-60.01 (9.43)","-299.91 (19.09)","-54.26 (9.11)","-58 (9.62)","-299.31 (18.98)","3.4 (0.59)",0.22,0.9,0.79,89.45,89.53,92.07,86.57
"l2.2","ST","-59.48 (8.69)","-299.38 (16.62)","-53.74 (8.64)","-57.77 (8.91)","-299.08 (16.74)","2.57 (0.4)",0.16,0.9,0.78,89,88.86,93.47,83.48
"l2.3","SP","-46.15 (9.34)","-286.05 (15.79)","-40.41 (8.2)","-44.54 (9.46)","-285.85 (15.9)","3.44 (0.36)",0.1,0.91,0.8,89.97,89.95,92.22,87.3
"l2.4","AGE","-71.32 (9.98)","-311.22 (16.07)","-65.58 (9.6)","-69.94 (10.12)","-311.25 (16.14)","3.09 (0.32)",0.2,0.89,0.76,88.54,88.27,92.53,83.3
"l2.5","SEX","-73.25 (9.95)","-313.15 (15.58)","-67.51 (9.19)","-72.23 (10.05)","-313.54 (15.72)","4.33 (0.39)",0.14,0.89,0.76,88,87.94,91.45,83.85
"l2.6","DPI","-67.18 (9.46)","-307.08 (16.7)","-61.43 (9.13)","-65.03 (9.62)","-306.34 (16.75)","3.51 (0.41)",0.13,0.89,0.76,88.45,88.19,92.38,83.3
"l2.7","TG","-41.41 (9)","-281.31 (14.94)","-35.67 (7.91)","-39.38 (9.06)","-280.69 (14.99)","3.7 (0.44)",0.16,0.9,0.79,89.61,89.45,91.91,86.57
"l3.1","TG + DOSE","-10.5 (4.08)","-250.4 (16.68)","-4.76 (2.75)","-8.5 (4.11)","-249.81 (16.66)","4.85 (0.68)",0.19,0.92,0.82,91.01,90.95,92.85,88.75
"l3.2","TG + ST","-33.39 (7.64)","-273.29 (15.66)","-27.65 (7.28)","-31.47 (7.78)","-272.78 (15.72)","4.68 (0.61)",0.17,0.91,0.8,90.23,90.12,92.53,87.3
"l3.3","TG + SP","-25.92 (7.98)","-265.82 (14.77)","-20.18 (6.65)","-24.08 (8.02)","-265.39 (14.85)","5.26 (0.54)",0.15,0.9,0.79,89.82,89.61,91.6,87.3
"l3.4","TG + AGE","-34.8 (8.08)","-274.7 (15.07)","-29.06 (7.78)","-33.34 (8.11)","-274.65 (15.15)","5.36 (0.51)",0.4,0.9,0.78,89.6,89.28,91.91,86.21
"l3.5","TG + SEX","-45.33 (9.01)","-285.23 (15.05)","-39.58 (7.96)","-42.93 (9.1)","-284.23 (15.16)","7.45 (0.58)",0.21,0.9,0.78,89.66,89.11,91.6,86.21
"l3.6","TG + DPI","-37.67 (8.28)","-277.57 (15.67)","-31.93 (7.62)","-34.89 (8.34)","-276.2 (15.66)","5.51 (0.58)",0.18,0.91,0.79,89.89,89.61,92.22,86.57
"l4.1","TG + DOSE + ST","-8.78 (3.64)","-248.68 (17.25)","-3.03 (3.34)","-7.12 (3.7)","-248.43 (17.19)","5.73 (0.8)",0.23,0.92,0.82,91.46,90.95,92.85,88.75
"l4.2","TG + DOSE + SP","-5.75 (3.36)","-245.65 (16.57)","0 (0)","-4.29 (3.39)","-245.6 (16.56)","6.41 (0.77)",0.21,0.92,0.82,91.35,91.12,93,88.93
"l4.3","TG + DOSE + AGE","-10.51 (3.84)","-250.41 (16.77)","-4.77 (3.54)","-9.06 (3.87)","-250.37 (16.77)","6.21 (0.72)",0.25,0.91,0.81,91.06,90.62,93,87.84
"l4.4","TG + DOSE + SEX","-11.81 (4.11)","-251.71 (16.73)","-6.06 (2.83)","-9.86 (4.1)","-251.17 (16.69)","6.2 (0.7)",0.25,0.92,0.82,91.13,90.87,92.85,88.57
"l4.5","TG + DOSE + DPI","-11.88 (4.01)","-251.78 (17)","-6.13 (3.11)","-9.66 (4.03)","-250.97 (16.91)","6.7 (0.79)",0.22,0.92,0.82,91.13,90.95,92.85,88.75
"l5.1","TG + DOSE + SP + ST","-4.35 (2.83)","-244.26 (17.01)","1.39 (1.8)","-3.28 (2.91)","-244.59 (16.99)","7.43 (0.92)",0.33,0.92,0.82,91.35,90.95,92.69,88.93
"l5.2","TG + DOSE + SP + AGE","-1.46 (1.9)","-241.36 (16.55)","4.28 (2.86)","-1.38 (1.83)","-242.69 (16.65)","8.5 (0.9)",0.22,0.92,0.82,91.65,91.21,92.69,89.47
"l5.3","TG + DOSE + SP + SEX","-6.95 (3.39)","-246.85 (16.62)","-1.2 (0.46)","-5.67 (3.4)","-246.98 (16.61)","7.81 (0.81)",0.3,0.92,0.82,91.33,91.04,93,88.75
"l5.4","TG + DOSE + SP + DPI","-6.64 (3.13)","-246.54 (16.83)","-0.9 (1.3)","-5 (3.15)","-246.31 (16.77)","8.22 (0.89)",0.2,0.92,0.82,91.19,90.87,92.85,88.57
"l6.1","TG + DOSE + SP + AGE + ST","0 (0)","-239.9 (17.02)","5.75 (3.36)","0 (0)","-241.31 (17.06)","9.31 (1.02)",0.35,0.92,0.82,91.62,91.21,92.85,89.29
"l6.2","TG + DOSE + SP + AGE + SEX","-2.71 (1.91)","-242.61 (16.6)","3.04 (2.87)","-2.4 (1.84)","-243.71 (16.67)","9.66 (0.94)",0.27,0.92,0.82,91.64,91.21,92.69,89.47
