"model","predictors","elpd","elpd_se","elpd_loo","elpd_loo_se","p_loo_loo","p_loo_loo_se","pareto_k_max","n_correct_test","n_correct_train","percent_pos","percent_neg","F_score","MCC","elpd_diff","elpd_diff_se","elpd_diff_loo","elpd_diff_se_loo","elpd_diff_best","elpd_diff_best_se","n_correct_test_adj","n_correct_train_adj","percent_test","percent_train"
"l1","",-311.562843569512,17.3584417582475,-311.326461237294,17.2884406028815,2.0558007276755,0.359653559574518,0.132954797316467,771,6946,90.357698289269,84.573502722323,0.887700534759358,0.752124790699448,-73.3124427241397,10.6264549473937,-71.1265942240434,10.7619129310772,-67.3346834379684,9.82858239108007,1047,9430,87.6884422110553,87.7535827284571
"l2.1","DOSE",-299.027676710437,19.6962788430429,-298.3628137201,19.462150110155,3.64601297766711,0.626179717759144,0.192477262858703,790,7118,91.7573872472784,86.3883847549909,0.902140672782875,0.784238417267346,-60.7772758650642,10.0196518330036,-58.1629467068499,10.1506492258839,-54.7995165788929,9.68711723601438,1066,9602,89.2797319932998,89.3541782989019
"l2.2","ST",-296.617818491894,18.5102050736725,-296.602483706296,18.4459476201118,3.03092696739179,0.534396388985864,0.200570635167634,792,7113,92.5349922239502,85.8439201451906,0.904255319148936,0.787869203191393,-58.3674176465215,9.44296142934558,-56.4026166930456,9.64594433960543,-52.3896583603502,9.48170265041852,1068,9597,89.4472361809045,89.3076493579006
"l2.3","SP",-283.705129109401,17.235961275952,-283.861110726069,17.2593861612003,3.96930520391466,0.465686654143926,0.233501195624199,796,7180,91.601866251944,87.6588021778584,0.906153846153846,0.794271882803117,-45.4547282640281,9.79068672357917,-43.6612437128179,9.93787106464852,-39.4769689778568,8.59578089579544,1072,9664,89.7822445561139,89.9311371673181
"l2.4","AGE",-309.310947942315,17.4283670306544,-309.577196118934,17.3857151966766,3.48623609119033,0.407732333262195,0.150401750478353,778,7040,91.7573872472784,84.2105263157895,0.893939393939394,0.764314112860662,-71.060547096942,10.5283714999283,-69.3773291056838,10.6479792201751,-65.0827878107707,10.1905007690348,1054,9524,88.2747068676717,88.6283268192816
"l2.5","SEX",-310.911879195058,17.5737965947409,-313.57155947662,17.6399970785129,6.41248541052225,0.682649832170906,0.169209503421039,769,6961,90.0466562986003,84.573502722323,0.885998469778118,0.748713185702816,-72.6614783496854,10.5839061282665,-73.3716924633696,10.7496283570731,-66.6837190635141,9.86091151477834,1045,9445,87.5209380234506,87.893169551461
"l2.6","DPI",-305.520709201761,18.0558511809749,-305.002498346124,17.9797030279424,3.9145910072072,0.503751196244559,0.232133223332134,777,7003,91.7573872472784,84.0290381125227,0.893262679788039,0.762663586105423,-67.2703083563879,10.0499826785827,-64.8026313328743,10.2001379200109,-61.2925490702166,9.69103161115461,1053,9487,88.1909547738694,88.284012655872
"l2.7","TG",-278.443594741199,16.4215850556989,-278.165750233215,16.3890165305121,4.20050020792651,0.532994582217005,0.236220486963488,794,7146,91.601866251944,87.2958257713249,0.904761904761905,0.790908033184878,-40.1931938958265,9.12551226213638,-37.9658832199646,9.20359643936236,-34.2154346096552,7.90304978884795,1070,9630,89.6147403685092,89.6147403685092
"l3.1","TG + DOSE",-249.230615754861,17.3550359202621,-248.733368738229,17.2531012959318,5.16260758337824,0.717191579971804,0.239972871139264,808,7297,92.5349922239502,88.7477313974592,0.915384615384615,0.814534916360447,-10.9802149094883,4.21603299133419,-8.53350172497866,4.24763446539105,-5.00245562331699,2.69058763010109,1084,9781,90.787269681742,91.0199143867486
"l3.2","TG + ST",-270.423628609444,17.2271255312903,-270.370866096667,17.1541313529843,5.29375382465386,0.742113418508526,0.183061335517368,798,7216,92.0684292379471,87.4773139745917,0.907975460122699,0.797689536856094,-32.1732277640709,7.81083042569465,-30.1709990834164,7.95927261205646,-26.1954684778997,7.417324208524,1074,9700,89.9497487437186,90.2661455425275
