"model","predictors","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","elpd_loo","elpd_loo_se","p_loo_loo","p_loo_loo_se","pareto_k_max","mae_test","mae_scaled_test","mae_train","mae_scaled_train","n_within_50_test","n_within_50_train","n_within_95_test","n_within_95_train","elpd_diff","elpd_diff_se","elpd_diff_loo","elpd_diff_se_loo","elpd_diff_best","elpd_diff_best_se","percent_50_test","percent_50_train","percent_95_test","percent_95_train"
"f1","",-1017.32171437708,29.4113557045874,5.94152952389153,0.586446959064273,2034.64342875417,58.8227114091748,-1017.11945525408,29.3481309397642,5.14848887964349,0.480791368672068,0.122376165983891,0.57792684011502,0.695080748796792,0.58397333935837,0.703589916806764,275,2451,543,4893,-186.241737797842,17.0500115465096,-196.493084953197,21.0672784048328,-186.241737797842,17.0500115465096,47.9930191972077,47.5276323443863,94.7643979057592,94.8807446189645
"f2.1","DOSE",-945.118659693176,32.2387021092655,32.0570096973664,3.93171727037145,1890.23731938635,64.477404218531,-932.540387893461,30.4907713289332,21.5765341251513,2.06696789432544,0.52519716739862,0.59707905125688,0.646913657304956,0.59911361105852,0.654666385114978,267,2418,548,4944,-114.038683113935,11.7016497160091,-111.91401759258,15.2726867524318,-114.038683113935,11.7016497160091,46.5968586387435,46.8877254217568,95.6369982547993,95.86969168121
"f2.2","ST",-929.46278711359,32.3808852323555,30.9771837090068,4.24602285609549,1858.92557422718,64.761770464711,-916.498755814955,30.7384834121236,20.9917269696431,2.41373465169614,0.490290472874855,0.557296000000001,0.630334329216167,0.55580674216998,0.632795967306324,288,2574,550,4974,-98.3828105343488,10.4891726445923,-95.8723855140726,13.6960334118025,-98.3828105343488,10.4891726445923,50.261780104712,49.912739965096,95.9860383944154,96.4514252472368
"f2.3","SP",-940.554658345284,32.7376102691798,38.2663250189111,5.84896307002722,1881.10931669057,65.4752205383597,-927.563683068002,31.0801675997839,25.5003845639214,2.74018171994686,0.597455815456592,0.57289629605103,0.619307160570641,0.56090016065321,0.607592359199521,283,2613,549,4963,-109.474681766043,11.8001113760017,-106.937312767119,15.4308216306252,-109.474681766043,11.8001113760017,49.3891797556719,50.6689936009308,95.8115183246073,96.2381229396936
"f2.4","AGE",-938.104553288315,32.6514886103338,34.2417587737973,5.22020147191105,1876.20910657663,65.3029772206676,-925.29393301443,30.9072197076132,22.5900732647792,2.60068914761872,0.6272201236842,0.57232675433252,0.636130454543229,0.56814264843318,0.623010207368423,284,2617,553,4996,-107.024576709074,12.5972301181956,-104.667562713549,16.3406789262956,-107.024576709074,12.5972301181956,49.5636998254799,50.746558076401,96.5095986038394,96.8780298623231
"f2.5","SEX",-951.981539412736,32.984467145784,46.534357403437,8.68489794831161,1903.96307882547,65.968934291568,-950.40844095094,32.6009377045635,32.5468882586536,4.589218454038,0.602618767837372,0.57565996252117,0.639472574538615,0.56406073696573,0.617278867780541,278,2612,549,4962,-120.901562833495,12.5840107300719,-129.78207065006,17.1082139775783,-120.901562833495,12.5840107300719,48.5165794066318,50.6496024820632,95.8115183246073,96.2187318208261
"f2.6","DPI",-913.310042887008,31.9859804542935,32.7145345195141,4.08670909744095,1826.62008577402,63.971960908587,-899.99812758259,30.3107944100728,21.9847016879451,2.33562852379242,0.502118766112433,0.550809999999999,0.642167890533477,0.55579170149054,0.647456201810867,272,2472,550,4958,-82.2300663077676,9.69826960950458,-79.3717572817093,12.658144857183,-82.2300663077676,9.69826960950458,47.4694589877836,47.934845840605,95.9860383944154,96.1411673453558
"f2.7","TG",-925.675411309975,33.9621236091521,38.7636398212628,6.89818602284681,1851.35082261995,67.9242472183042,-913.914960297366,32.3309394861688,25.0500796062768,3.13663231259086,0.511323157451688,0.57304976413851,0.627401924424588,0.554884999999999,0.609315346710016,289,2617,560,5041,-94.5954347307344,11.023897123296,-93.2885899964856,14.527071073459,-94.5954347307344,11.023897123296,50.4363001745201,50.746558076401,97.7312390924956,97.7506302113632
"f3.1","DPI + DOSE",-914.744171526318,32.0500400514857,36.7891404918885,4.74154626580051,1829.48834305264,64.1000801029713,-902.061671291939,30.3858947476932,24.9473302018667,2.56791696097779,0.605819283693012,0.557045912443689,0.64894769948858,0.556608,0.647422097280062,278,2477,550,4969,-83.664194947077,9.65477409043365,-81.4353009910575,12.6305625544902,-83.664194947077,9.65477409043365,48.5165794066318,48.0318014349428,95.9860383944154,96.354469652899
"f3.2","DPI + ST",-913.859145189879,32.074000662211,34.8455122871883,4.92164587163672,1827.71829037976,64.148001324422,-900.900315503599,30.4628651217093,23.1723191173839,2.63084877442774,0.615771152328685,0.55244271269074,0.648536323936157,0.554939999999999,0.650553287047235,274,2455,550,4957,-82.7791686106381,9.5890648667246,-80.2739452027167,12.5573467801604,-82.7791686106381,9.5890648667246,47.8184991273996,47.6051968198565,95.9860383944154,96.1217762264883
"f3.3","DPI + SP",-909.203287782042,32.1750491074446,35.9777936030177,4.42337081994095,1818.40657556408,64.3500982148893,-896.948554963993,30.5824378120088,24.7958843942462,2.56070443620608,0.523702306645423,0.55495280911742,0.652805393102829,0.549911701490539,0.652680090985226,278,2479,549,4953,-78.1233112028011,9.53049480663224,-76.3221846631118,12.5404381310253,-78.1233112028011,9.53049480663224,48.5165794066318,48.0705836726779,95.8115183246073,96.044211751018
"f3.4","DPI + AGE",-905.860695596316,32.1094544118006,36.8292159577525,4.86952963281167,1811.72139119263,64.2189088236012,-893.620353751111,30.5376495256128,24.9447815144472,2.6969967665167,0.692762856695125,0.544526620700089,0.652756846002522,0.53836092700581,0.6435063258608,280,2556,551,4965,-74.7807190170748,10.352759135947,-72.9939834502284,13.5009638929202,-74.7807190170748,10.352759135947,48.8656195462478,49.5636998254799,96.1605584642234,96.2769051774287
"f3.5","DPI + SEX",-918.788241863203,32.2242190189496,42.3983562790291,5.09937444170537,1837.57648372641,64.4484380378992,-912.002189717444,30.9492273991419,29.7351596006117,2.94761880856205,0.626337420036755,0.566246494862269,0.671105936345949,0.54147929814086,0.641621187574797,267,2520,547,4947,-87.7082652839619,10.226487962277,-91.3758194165626,13.3682604637104,-87.7082652839619,10.226487962277,46.5968586387435,48.8656195462478,95.4624781849913,95.9278650378127
"f3.6","DPI + TG",-879.437041794333,34.0134431120178,40.020341145433,7.23541491381097,1758.87408358867,68.0268862240356,-866.766694101813,32.3792569469373,26.542702538041,3.70150084104438,0.561637260955179,0.52090674089727,0.597536117539499,0.513585465931531,0.605090991011527,292,2620,560,5039,-48.3570652150918,8.30085637187442,-46.1403238009314,10.8786311843407,-48.3570652150918,8.30085637187442,50.9598603839442,50.8047314330037,97.7312390924956,97.7118479736281
