"Model","Predictors","ELPD Difference (SE)","ELPD (SE)","ELPD Difference Best (SE)","Effective parameters (SE)","LOO - ELPD Difference (SE)","LOO - ELPD (SE)","LOO - Effective parameters (SE)","LOO - Max. Pareto k","MAE (Scaled) - Train","MAE (Scaled) - Test","% within 50% PI (train)","% within 50% PI (test)","% within 95% PI (train)","% within 95% PI (test)"
"f1","","-193.26 (16.84)","-1019.67 (28.39)","-193.26 (16.84)","5.5 (0.49)","-198.19 (20.78)","-1019.37 (28.43)","4.8 (0.42)",0.124120805755094,"0.58 (0.7)","0.58 (0.7)",47.3,47.3,94.9,95.1
"f2.1","DOSE","-114.1 (11.77)","-940.51 (31.18)","-114.1 (11.77)","30.88 (4.08)","-112.9 (15.27)","-934.07 (30.17)","21.54 (2.13)",0.63819781893831,"0.6 (0.65)","0.59 (0.66)",47.2,46.8,95.9,95.8
"f2.2","ST","-98.45 (10.55)","-924.86 (31.29)","-98.45 (10.55)","29.48 (4.15)","-96.54 (13.7)","-917.72 (30.37)","20.56 (2.41)",0.645176358209942,"0.56 (0.64)","0.56 (0.64)",49.5,50.1,96.5,96.3
"f2.3","SP","-109.42 (11.77)","-935.83 (31.68)","-109.42 (11.77)","36.7 (5.82)","-107.57 (15.32)","-928.75 (30.72)","25.09 (2.74)",0.66740294491977,"0.56 (0.61)","0.56 (0.61)",50.7,49.7,96.3,95.8
"f2.4","AGE","-107.07 (12.54)","-933.48 (31.62)","-107.07 (12.54)","32.52 (5.1)","-105.41 (16.2)","-926.59 (30.56)","22.23 (2.61)",0.605784706094545,"0.56 (0.62)","0.57 (0.63)",50.9,50.1,96.7,96.2
"f2.5","SEX","-120.92 (12.57)","-947.33 (31.96)","-120.92 (12.57)","45.67 (9.09)","-130.76 (17.07)","-951.94 (32.35)","32.2 (4.74)",0.547571732780686,"0.56 (0.62)","0.57 (0.64)",50.6,48.5,96.3,95.8
"f2.6","DPI","-82.36 (9.77)","-908.77 (30.9)","-82.36 (9.77)","31.05 (4)","-80.32 (12.71)","-901.5 (29.94)","21.84 (2.34)",0.600001294484616,"0.55 (0.65)","0.55 (0.65)",47.7,47.6,96.1,95.8
"f2.7","TG","-94.77 (11.07)","-921.18 (33.01)","-94.77 (11.07)","37.77 (7.05)","-93.93 (14.53)","-915.11 (31.96)","25.46 (3.55)",0.657807376430471,"0.55 (0.61)","0.57 (0.62)",50.9,50.3,97.7,97.7
"f3.1","DPI + DOSE","-83.64 (9.73)","-910.05 (30.91)","-83.64 (9.73)","35.15 (4.6)","-82.23 (12.62)","-903.41 (29.97)","24.51 (2.54)",0.589566285323274,"0.56 (0.65)","0.56 (0.64)",47.7,48.2,96.5,95.8
"f3.2","DPI + ST","-83.02 (9.69)","-909.43 (31)","-83.02 (9.69)","33.15 (4.79)","-80.88 (12.64)","-902.06 (30.08)","22.76 (2.59)",0.454672472036367,"0.56 (0.65)","0.56 (0.65)",47.8,48,96.3,96
