"model","predictors","elpd","elpd_se","p_loo","p_loo_se","looic","looic_se","elpd_loo","elpd_loo_se","p_loo_loo","p_loo_loo_se","pareto_k_max","mae_test","mae_scaled_test","mae_train","mae_scaled_train","n_within_50_test","n_within_50_train","n_within_95_test","n_within_95_train","elpd_diff","elpd_diff_se","elpd_diff_loo","elpd_diff_se_loo","elpd_diff_best","elpd_diff_best_se","percent_50_test","percent_50_train","percent_95_test","percent_95_train"
"f1","",-1019.67177807983,28.3880995339524,5.49727308737807,0.49439003315057,2039.34355615967,56.7761990679048,-1019.36989071287,28.4331027535845,4.80432547969622,0.422526690282541,0.124120805755094,0.579377,0.697277854201205,0.581362,0.702429135900258,271,2440,545,4896,-193.263516981462,16.8430292353981,-198.192414407545,20.778498072181,-193.263516981462,16.8430292353981,47.2949389179756,47.3143300368431,95.1134380453752,94.9389179755672
"f2.1","DOSE",-940.505216425224,31.1818301209419,30.8757287899803,4.08284858070711,1881.01043285045,62.3636602418838,-934.073005612545,30.1727135639292,21.5445628906015,2.12897535437723,0.63819781893831,0.59358943284359,0.655840811620362,0.59508032042122,0.651411403451348,268,2432,549,4946,-114.096955326854,11.7737149520894,-112.895529307215,15.2668374792473,-114.096955326854,11.7737149520894,46.7713787085515,47.1592010859027,95.8115183246073,95.9084739189451
"f2.2","ST",-924.857237561876,31.2925570709426,29.4793117037027,4.14938163106184,1849.71447512375,62.5851141418852,-917.720835813273,30.3741164446277,20.5619090374572,2.41470086563752,0.645176358209942,0.55536919167703,0.635104910034667,0.55746976413851,0.635379164242,287,2552,552,4975,-98.448976463505,10.5467038670258,-96.5433595079437,13.7021191003483,-98.448976463505,10.5467038670258,50.087260034904,49.4861353500097,96.3350785340314,96.4708163661043
"f2.3","SP",-935.826441955797,31.6807970294103,36.6987244745845,5.81901599195772,1871.65288391159,63.3615940588206,-928.749997317911,30.7151475677166,25.0862400337957,2.74327583253123,0.66740294491977,0.559570000000001,0.61243084716403,0.564801553092451,0.608787320641991,285,2615,549,4965,-109.418180857426,11.7664080025097,-107.572521012581,15.3154382334536,-109.418180857426,11.7664080025097,49.738219895288,50.7077758386659,95.8115183246073,96.2769051774287
"f2.4","AGE",-933.480484597892,31.617858994193,32.5226920985897,5.09963597477477,1866.96096919578,63.2357179883861,-926.58952161703,30.556359288354,22.231017885964,2.60682942785558,0.605784706094545,0.57345918748174,0.631551543742211,0.56476428277447,0.618619276334952,287,2626,551,4988,-107.072223499521,12.5398873673144,-105.412045311701,16.1974985502212,-107.072223499521,12.5398873673144,50.087260034904,50.921078146209,96.1605584642234,96.7229009113826
"f2.5","SEX",-947.32828380186,31.9601341220335,45.6702065456663,9.08511612860178,1894.65656760372,63.920268244067,-951.941167049389,32.3543076570695,32.2022879904798,4.73619387176877,0.547571732780686,0.56838141205523,0.641443994947744,0.56332776003349,0.617712694013226,278,2607,549,4964,-120.920022703489,12.5748566278916,-130.763690744059,17.0666702550768,-120.920022703489,12.5748566278916,48.5165794066318,50.5526468877254,95.8115183246073,96.2575140585612
"f2.6","DPI",-908.772594253853,30.9012441037657,31.04677839958,4.00304666017887,1817.5451885077,61.8024882075314,-901.500496182115,29.942018509927,21.842771554041,2.34285604857045,0.600001294484616,0.55452775482533,0.649458494709423,0.554904146403049,0.652080193721802,273,2458,549,4956,-82.3643331554815,9.77352790729118,-80.3230198767855,12.7145794633848,-82.3643331554815,9.77352790729118,47.6439790575916,47.6633701764592,95.8115183246073,96.1023851076207
"f2.7","TG",-921.182257521385,33.0140375601573,37.771283838012,7.04504451705301,1842.36451504277,66.0280751203146,-915.111762145583,31.962796633951,25.4554315514881,3.55120871467448,0.657807376430471,0.56757399511819,0.61850384928189,0.554591901043649,0.606574313166264,288,2627,560,5040,-94.7739964230141,11.068830193012,-93.934285840255,14.5254463511671,-94.7739964230141,11.068830193012,50.261780104712,50.9404692650766,97.7312390924956,97.7312390924956
"f3.1","DPI + DOSE",-910.050714023119,30.9064784400839,35.1454547757176,4.59980208770053,1820.10142804624,61.8129568801679,-903.408597189169,29.9695591733448,24.512752003309,2.54253399997569,0.589566285323274,0.55741501531695,0.64496617493218,0.55687,0.649644822496286,276,2462,549,4974,-83.6424529247477,9.7256786678505,-82.2311208838407,12.6229273556658,-83.6424529247477,9.7256786678505,48.1675392670157,47.7409346519294,95.8115183246073,96.4514252472368
"f3.2","DPI + ST",-909.431924402306,30.9966686154524,33.152323563578,4.7887569996807,1818.86384880461,61.9933372309047,-902.056994509591,30.0761611849601,22.761638336911,2.58973531454573,0.454672472036367,0.55932275482533,0.653688972834258,0.55515959676181,0.650277991497378,275,2465,550,4964,-83.0236633039351,9.69127426658481,-80.879518204262,12.637265923227,-83.0236633039351,9.69127426658481,47.9930191972077,47.7991080085321,95.9860383944154,96.2575140585612
"f3.3","DPI + SP",-904.618517498883,31.0912763690722,34.3723886408601,4.30170224982571,1809.23703499777,62.1825527381444,-898.350277713808,30.2188852871052,24.2101790598984,2.51892701040554,0.563145127880108,0.54904016065321,0.649111367695707,0.5481875789204,0.651669156909362,275,2477,549,4954,-78.2102564005116,9.65941045737985,-77.17280140848,12.6568991607686,-78.2102564005116,9.65941045737985,47.9930191972077,48.0318014349428,95.8115183246073,96.0636028698856
