"model","predictors","elpd","elpd_se","elpd_loo","elpd_loo_se","p_loo_loo","p_loo_loo_se","pareto_k_max","F_score","MCC","n_correct_test","n_correct_train","percent_pos","percent_neg","percent_total","elpd_diff","elpd_diff_se","elpd_diff_loo","elpd_diff_se_loo","elpd_diff_best","elpd_diff_best_se","percent_test","percent_train","n_correct_test_adj","n_correct_train_adj","percent_test_adj","percent_train_adj"
"c1","T",-434.284268535604,12.4973491983215,-434.200277668869,12.5606119547085,1.94286981927593,0.125221465526016,0.0799482026455482,0.591397849462366,0.481323304978604,560,5069,52.7156549520767,91.3978494623656,81.657280772325,-57.3222530038128,14.4709425665364,-44.2577376517566,8.66447054292528,-55.6989873977383,13.9568578904204,72.258064516129,72.673835125448,1015,9164,81.657280772325,81.9165102350943
"c2.1","cell_idx",-433.57572266548,12.8324034706894,-432.904561210678,12.8760432293988,3.718951931515,0.245604497443707,0.0744706219115489,0.617283950617284,0.510414279255214,571,5143,55.9105431309904,91.505376344086,82.5422365245374,-56.6137071336888,14.4478300556133,-42.9620211935656,8.90727526210307,-54.9904415276143,13.8284321966964,73.6774193548387,73.7347670250896,1026,9238,82.5422365245374,82.5779923125056
"c2.2","assay_idx",-421.957076016936,12.8812901994928,-421.989196695599,12.9480316287533,2.75823315569923,0.143360847157656,0.0581616888115369,0.628975265017668,0.526133063426133,578,5221,56.8690095846645,91.9354838709677,83.1053901850362,-44.9950604851443,12.7758248593077,-32.046656678486,7.6238746387273,-43.3717948790698,12.1360160889276,74.5806451612903,74.8530465949821,1033,9316,83.1053901850362,83.275230177885
"c2.3","log10_dose_pfu",-435.498260368997,12.6251730272161,-435.162275856194,12.6506981373867,2.58675717223404,0.155046818922018,0.103925776977265,0.594306049822064,0.482998646094535,560,5057,53.3546325878594,91.1827956989247,81.657280772325,-58.5362448372058,14.580933707513,-45.2197358390823,8.68078692366926,-56.9129792311313,14.0825498829344,72.258064516129,72.5017921146953,1015,9152,81.657280772325,81.8092428711898
"c2.4","st_idx",-433.406245843227,12.3390393628125,-432.561161241275,12.3837543319642,3.00813198709908,0.179111522857019,0.109706517157788,0.564748201438849,0.447781151578831,546,4962,50.1597444089457,90.752688172043,80.5309734513274,-56.4442303114358,13.9926966380586,-42.6186212241629,8.53232529913745,-54.8209647053613,13.5388057917725,70.4516129032258,71.1397849462366,1001,9057,80.5309734513274,80.9600429069456
"c2.5","sp_idx",-427.352445690561,12.632136926775,-427.593738253234,12.6919840953219,3.73767314041503,0.190762373586117,0.136114032357216,0.585964912280702,0.468126843062497,552,4992,53.3546325878594,90.3225806451613,81.0136765888978,-50.3904301587693,13.3987594388387,-37.6511982361215,8.02108778587625,-48.7671645526949,12.9879705458935,71.2258064516129,71.5698924731183,1007,9087,81.0136765888978,81.2282113167069
"c2.6","age_idx",-420.770932368145,13.3603054898143,-434.7712386486,14.4310689979777,17.1949300464932,3.25992627692772,0.258233309506644,0.590339892665474,0.479413415764232,559,5025,52.7156549520767,91.2903225806452,81.5768302493966,-43.8089168363533,12.9393094286337,-44.828698631488,8.31212065662933,-42.1856512302788,12.4947403112686,72.1290322580645,72.0430107526882,1014,9120,81.5768302493966,81.5231965674444
"c2.7","sex_idx",-430.169352354023,12.6330611771649,-429.728199462779,12.6863264460051,2.8966972292803,0.162332027798414,0.155010181543809,0.594306049822064,0.482998646094535,560,5034,53.3546325878594,91.1827956989247,81.657280772325,-53.2073368222316,13.6484389896144,-39.7856594456673,8.20193713725133,-51.5840712161572,14.2601739947931,72.258064516129,72.1720430107527,1015,9129,81.657280772325,81.6036470903728
"c2.8","dpi_idx",-415.135382611984,13.2879995150471,-415.102084444296,13.3226949602808,3.86669813319854,0.233230676224286,0.132660655791103,0.601073345259392,0.49336950081997,565,5107,53.6741214057508,91.6129032258064,82.059533386967,-38.1733670801921,12.079161824909,-25.1595444271827,6.99223357155276,-36.5501014741176,11.3545084657327,72.9032258064516,73.2186379928315,1020,9202,82.059533386967,82.256190220792
"c2.9","tg_idx",-431.030186099476,13.2655595185789,-431.474893475737,13.324014346878,3.62468644303989,0.211445420954869,0.118395864141168,0.625659050966608,0.520373090492825,575,5192,56.8690095846645,91.6129032258064,82.864038616251,-54.0681705676843,14.0952453640893,-41.5323534586252,8.25805689473752,-52.4449049616098,13.5037281047655,74.1935483870968,74.4372759856631,1030,9287,82.864038616251,83.0160007151158
"c3.1","dpi_idx, cell_idx",-416.892458233965,13.4303264648904,-416.558288119139,13.4844016601588,5.67246816052218,0.353756116182254,0.166701526330089,0.59605026929982,0.487908576681531,563,5115,53.035143769968,91.6129032258064,81.8986323411102,-39.9304427021731,11.9724725565759,-26.6157481020275,6.94075541700863,-38.3071770960987,11.2060818937107,72.6451612903226,73.3333333333333,1018,9210,81.8986323411102,82.3277017967283
"c3.2","dpi_idx, assay_idx",-411.767308996842,13.4620206187623,-411.773504347103,13.5010777334699,4.66409294481125,0.26009955257247,0.118225408681909,0.623188405797101,0.525897347494476,580,5214,54.9520766773163,92.7956989247312,83.266291230893,-34.8052934650508,11.2876124197621,-21.830964329991,6.4549208413053,-33.1820278589763,10.4842252728408,74.8387096774194,74.752688172043,1035,9309,83.266291230893,83.2126575489407
"c3.3","dpi_idx, log10_dose_pfu",-416.35905049792,13.5795661318717,-416.04471131098,13.5845186638291,4.48842213297563,0.252644156997732,0.157742897024622,0.6,0.491447234888321,564,5086,53.6741214057508,91.505376344086,81.9790828640386,-39.397034966129,12.3268334015567,-26.1021712938676,6.97540223393519,-37.7737693600545,11.6711011787019,72.7741935483871,72.9175627240143,1019,9181,81.9790828640386,82.0684723339591
"c3.4","dpi_idx, st_idx",-413.851548402614,13.2479297023915,-413.647090170337,13.2960424847077,4.89721168617063,0.275364573606512,0.121242729768418,0.589928057553957,0.480496563192435,560,5078,52.3961661341853,91.505376344086,81.657280772325,-36.8895328708226,11.4732265424545,-23.7045501532244,6.74829610295157,-35.2662672647481,10.8297243571336,72.258064516129,72.8028673835125,1015,9173,81.657280772325,81.9969607580227
"c3.5","dpi_idx, sp_idx",-407.004166960544,13.3420475768723,-407.327673845899,13.4051714611,5.54764261025702,0.300028573596675,0.106589397793542,0.622144112478032,0.515789783720986,573,5182,56.5495207667732,91.505376344086,82.7031375703942,-30.0421514287525,10.3689196678318,-17.3851338287862,5.84037381532243,-28.418885822678,9.744555526854,73.9354838709677,74.2939068100358,1028,9277,82.7031375703942,82.9266112451953
