"model","predictors","elpd","elpd_se","elpd_loo","elpd_loo_se","p_loo_loo","p_loo_loo_se","pareto_k_max","F_score","MCC","n_correct_test","n_correct_train","percent_pos","percent_neg","percent_total","elpd_diff","elpd_diff_se","elpd_diff_loo","elpd_diff_se_loo","percent_test","percent_train","n_correct_test_adj","n_correct_train_adj","percent_test_adj","percent_train_adj"
"c1","T",-350.192842139445,7.86694531413823,-350.377144692873,7.97384711238201,1.8048668655506,0.098407594674619,0.0640426861164666,0.540834845735027,0.431535627366721,363,3273,46.7084639498433,91.6666666666667,80.7604562737643,-48.768034448945,17.8669129749632,-47.1186482430651,9.2159440066465,64.5907473309609,64.7093712930012,1062,9564,80.7604562737643,80.8111533586819
"c2.1","cell_idx",-347.575255684679,8.24464864854474,-348.409308981706,8.36187810784264,3.50227676474166,0.213337021920452,0.110107680334063,0.563176895306859,0.458412832765262,374,3358,48.9028213166144,92.0682730923695,81.5969581749049,-46.1504479941788,17.664732154944,-45.1508125318983,9.11132501844029,66.5480427046263,66.3898774219059,1073,9649,81.5969581749049,81.5293620616815
"c2.2","assay_idx",-345.369767174077,8.14246171212313,-345.984027421664,8.25858400067142,2.76988064643016,0.123142914705143,0.133812850716093,0.549371633752244,0.438971310150262,365,3302,47.9623824451411,91.4658634538153,80.9125475285171,-43.9449594835763,17.3922220051869,-42.7255309718562,8.97188012591577,64.9466192170818,65.2827204428628,1064,9593,80.9125475285171,81.056189269117
"c2.3","log10_dose_pfu",-351.175003132604,8.1280830425931,-351.500579726695,8.19795845978155,2.44420907436441,0.138267946329011,0.150086953368611,0.534545454545455,0.424075940162668,360,3253,46.0815047021944,91.566265060241,80.532319391635,-49.7501954421035,18.0124279540097,-48.2420832768883,9.2727388578667,64.0569395017794,64.3139580862001,1059,9544,80.532319391635,80.6421630756232
"c2.4","st_idx",-345.548078340105,8.51193736979219,-345.644464255563,8.64586793675874,2.77282209641049,0.154390937859044,0.0672040135604063,0.579505300353357,0.472758813816162,378,3427,51.41065830721,91.6666666666667,81.9011406844106,-44.1232706496045,16.4916138140303,-42.3859678057554,8.48267844512573,67.2597864768683,67.7540529853697,1077,9718,81.9011406844106,82.112378538234
"c2.5","sp_idx",-348.556487134716,8.21422026726499,-349.015585007064,8.30651292477844,3.70023887425916,0.158065679965279,0.092973223803462,0.541133455210238,0.434363920850426,365,3313,46.3949843260188,91.9678714859438,80.9125475285171,-47.131679444216,16.9490824885747,-45.7570885572568,8.75819095647529,64.9466192170818,65.5001977066034,1064,9604,80.9125475285171,81.1491339247993
"c2.6","age_idx",-348.942921566901,8.26609742968356,-349.466653684845,8.34463188932596,2.79966285144901,0.129308184583539,0.0973438377073648,0.546112115732369,0.437111380381239,365,3280,47.3354231974922,91.6666666666667,80.9125475285171,-47.5181138764012,17.6359195999238,-46.2081572350381,9.11999579913171,64.9466192170818,64.8477659153816,1064,9571,80.9125475285171,80.8702999577524
"c2.7","sex_idx",-350.352733368371,8.13381770489098,-351.031353969944,8.24088748987298,3.17950694627674,0.141680882777565,0.127354366887255,0.548094373865699,0.440843973344023,367,3336,47.3354231974922,91.8674698795181,81.06463878327,-48.9279256778705,17.7651774590898,-47.7728575201371,9.19068931320623,65.3024911032028,65.9549228944247,1066,9627,81.06463878327,81.3434727503169
"c2.8","dpi_idx",-317.726298971256,10.2345180907119,-317.888037463466,10.3154362275306,3.64794599050428,0.239615077890679,0.128943598356582,0.612099644128114,0.516746272232015,398,3596,53.9184952978056,92.8714859437751,83.4220532319392,-16.3014912807556,10.8352724600921,-14.6295410136583,5.68531465225374,70.8185053380783,71.0952945828391,1097,9887,83.4220532319392,83.5403464300803
"c2.9","tg_idx",-350.485452236848,8.10808332250037,-350.770098442407,8.18946416557594,3.25263776231029,0.496053315478577,0.246400272714092,0.540834845735027,0.431535627366721,363,3263,46.7084639498433,91.6666666666667,80.7604562737643,-49.060644546348,17.8953349421206,-47.5116019925998,9.22705282417595,64.5907473309609,64.5116646896006,1062,9554,80.7604562737643,80.7266582171525
