"group","predictor","0","1","2","3","4","5","6","7","8","9","10"
"Dose",4,"0, 0","0, 0.01","0.01, 0.04","0.09, 0.19","0.43, 0.61","0.84, 0.92","0.97, 0.99","1, 1","1, 1","1, 1","1, 1"
"Dose",5.5,"0, 0","0, 0","0, 0.01","0.02, 0.06","0.16, 0.27","0.6, 0.72","0.91, 0.95","0.98, 0.99","1, 1","1, 1","1, 1"
"Dose",7,"0, 0","0, 0","0, 0","0, 0.02","0.04, 0.1","0.23, 0.43","0.69, 0.84","0.94, 0.98","0.99, 1","1, 1","1, 1"
"Species",1,"0, 0","0, 0","0, 0.01","0.02, 0.06","0.16, 0.27","0.6, 0.72","0.91, 0.95","0.98, 0.99","1, 1","1, 1","1, 1"
"Species",2,"0, 0","0, 0","0, 0.01","0.02, 0.07","0.12, 0.33","0.5, 0.77","0.87, 0.96","0.98, 1","1, 1","1, 1","1, 1"
"Species",3,"0, 0","0, 0","0, 0","0, 0.02","0.03, 0.12","0.17, 0.49","0.59, 0.88","0.91, 0.98","0.98, 1","1, 1","1, 1"
"Target Gene",1,"0, 0.03","0.03, 0.17","0.18, 0.58","0.61, 0.91","0.91, 0.99","0.99, 1","1, 1","1, 1","1, 1","1, 1","1, 1"
"Target Gene",2,"0, 0.01","0.01, 0.08","0.06, 0.38","0.3, 0.81","0.75, 0.97","0.95, 1","0.99, 1","1, 1","1, 1","1, 1","1, 1"
"Target Gene",3,"0, 0","0, 0","0, 0.01","0.02, 0.06","0.16, 0.27","0.6, 0.72","0.91, 0.95","0.98, 0.99","1, 1","1, 1","1, 1"
"Target Gene",4,"0, 0","0, 0","0, 0.03","0.04, 0.15","0.24, 0.55","0.69, 0.9","0.94, 0.98","0.99, 1","1, 1","1, 1","1, 1"
